word,frequency
online,905
many,332
good,319
n,207
clear,200
much,188
available,180
necessary,174
complete,168
possible,167
new,161
open,156
correct,153
different,146
first,144
previous,138
difficult,134
better,131
able,127
missing,126
public,119
federal,119
easy,119
direct,119
mexican,118
busy,111
simple,108
long,107
bad,106
live,105
high,104
last,104
portal,103
right,101
impossible,99
professional,99
easier,98
several,95
electronic,91
friendly,90
original,89
personal,89
specific,88
medical,86
little,81
complicated,80
social,78
single,75
slow,74
key,74
real,73
official,71
digital,71
general,69
confusing,67
free,66
legal,66
accessible,66
present,66
full,65
efficient,64
foreign,61
next,61
record,60
useless,59
military,58
wrong,57
important,55
national,55
clearer,54
less,54
useful,53
poor,53
best,53
nearest,52
old,48
current,47
temporary,45
local,44
asd,43
practical,42
informaci,42
whole,41
great,40
visible,40
responsible,40
enough,39
additional,39
unable,38
total,37
economic,37
low,37
mere,36
rude,36
unclear,36
select,36
worse,35
valid,35
effective,34
civil,34
iztapalapa,34
true,33
third,33
inefficient,33
detailed,33
incomplete,33
ready,32
appropriate,32
urgent,32
administrative,32
renewal,32
interested,32
small,30
virtual,30
technical,30
faster,29
physical,29
entire,29
minor,28
private,28
basic,28
bureaucratic,28
accurate,28
cumbersome,27
municipal,27
relevant,27
short,27
elderly,27
older,27
close,26
lower,26
half,26
else,26
capital,26
active,26
incorrect,25
agile,25
financial,25
excellent,24
permanent,24
serious,24
kind,24
regional,23
certain,23
simpler,23
pure,23
actual,23
lousy,23
second,23
mad,22
human,22
main,22
special,22
facilitate,21
ordinary,21
expensive,21
unnecessary,20
mandatory,20
various,19
nice,19
popular,19
proper,19
faithful,19
large,19
concerned,19
timely,19
due,18
primary,18
set,18
east,18
immediate,18
extra,18
individual,18
fast,18
outside,18
editable,18
informacin,17
royalty,17
explicit,17
annoying,17
young,17
back,17
secondary,17
quality,17
prior,17
absurd,17
tedious,16
fine,16
territorial,16
mexicali,16
precise,16
upset,16
red,16
longer,16
related,16
trmite,16
educational,16
minimum,16
external,16
annual,16
fovissste,15
outdated,15
worst,15
helpful,15
closest,15
consistent,15
terrible,15
prompt,15
final,15
exact,15
equal,15
white,15
competent,14
indicate,14
common,14
nn,14
manual,14
renovaci,14
sure,14
double,13
black,13
maximum,13
approximate,13
green,13
separate,13
front,13
horrible,13
ridiculous,13
colombian,13
indigenous,12
adequate,12
notary,12
representative,12
arrogant,12
ill,12
hard,12
familiar,12
higher,12
early,12
ambiguous,12
particular,12
sad,12
quick,12
express,12
alternative,12
nnica,12
executive,12
late,12
consular,12
sorry,11
similar,11
specialty,11
obvious,11
fair,11
frustrating,11
greater,11
adult,11
forward,11
monthly,11
english,11
nnico,11
big,11
willing,11
subject,11
understandable,11
obsolete,11
false,11
flexible,10
holy,10
excessive,10
aware,10
sick,10
earlier,10
central,10
respective,10
intuitive,10
unfriendly,10
worth,10
safe,10
sufficient,10
american,10
dear,10
perfect,10
later,10
fatal,9
middle,9
irregular,9
comprehensive,9
understanding,9
automatic,9
incredible,9
clean,9
multiple,9
illogical,9
environmental,9
recent,9
senior,9
tramite,9
concrete,9
caring,9
complex,9
spanish,9
ignorant,9
cordial,9
amazing,8
friendlier,8
academic,8
successful,8
favorable,8
decent,8
arab,8
voluntary,8
telefnica,8
major,8
desirable,8
internal,8
unfair,8
concise,8
honest,8
michoacan,8
rightful,7
unaware,7
invalid,7
actualizaci,7
ok,7
unknown,7
anonymous,7
subsequent,7
functional,7
comunicaci,7
commercial,7
average,7
preregistration,7
blue,7
suitable,7
future,7
reliable,7
desperate,7
endless,7
interior,7
organized,7
sinaloa,7
complicate,7
presencial,7
top,7
mediocre,7
yucatan,7
clinical,7
provisional,7
okay,7
deficient,7
telefnico,7
empty,7
lead,7
moral,7
medium,7
applicable,7
inept,6
relative,6
attentive,6
dd,6
rich,6
nowhere,6
south,6
marital,6
identificacin,6
rest,6
corrupt,6
convenient,6
