Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha,Sentimiento 1,Sentimiento 2,1.3 Inglés,1.4 Inglés
1,SEP517,SEP-23-002-A,Sí,No,,los documentos se puedan entregar de forma electrónica,2015-12-23,1,1,,documents can be delivered electronically
3,SRE151,SRE-03-009-B,No,Sí,Las citas vía Internet antes las podía hacer ahora me resulta imposible o no me da la opción,Seria mejor el sistema anterior donde se podía hacer la cita por internet,2015-12-23,1,1,Appointments via the Internet before now I could make it impossible or does not give me the option,It would better the previous system where you could make an appointment online
6,SRE144,SRE-03-007-A,Sí,Sí,"LA INFORMACIÓN DE LAS CITAS NO ESTA AL ALCANCE, ES MUY DIFÍCIL LOCALIZARLA",PRESENTEN LA INFORMACIÓN PARA HACER CITAS DE FORMA CLARA,2015-12-23,0,1,"INFORMATION APPOINTMENTS TO THE EXTENT NOT, IT IS VERY difficult to locate",INFORMATION PRESENTED TO DATING FORM CLARA
7,SRE112,SRE-03-002,Sí,No,,"Poder agendar cita por Internet , eso sería de mucha utilidad",2015-12-23,1,2,,"To schedule appointment online, that would be very useful"
12,SRE113,SRE-03-003,No,Sí,no se puede agendar la cita para la renovación del pasaporte...en ninguna parte de su página está.....ofrecen ese servicio pero no está en ninguna parte,la página esta saturada de información que no es util.... y lo q necesitamos no está o no es fácil de buscar.....ejemplo....no encuentro la liga para agendar una cita para la renovación del pasaporte,2015-12-25,0,1,You can not schedule the appointment for passport renewal ... in any part of your page ..... offer that service but it is nowhere,page is saturated with information that is not useful .... and q need is not or is not easy to find ..... example .... I do not find the league to schedule an appointment for passport renewal
15,IMSS184,IMSS-02-066-D,Sí,No,,Incluir teléfono de contacto,2015-12-26,1,1,,Include contact phone
105,SRE113,SRE-03-003,No,Sí,"Hace falta un enlace con el sistema de citas, porque en mi caso tuve que llamar a dos números distintos. 
también seria util que dieran un estimado en las fechas de espera por vacaciones o otras condiciones.","Podrían poner información más actualizada, por ejemplo:
La dirección de las SRE en Zacatecas es incorrecta.
Cuando llamas para solicitar una cita, la página de internet que te sugieren no existe.
No hay forma de saber cómo sacar tu cita hasta que llamas al Teléfono de tu SRE que además no es el numero para las citas.
En general tener la información más exacta ayudaria mucho.",2015-12-27,1,0,"You need a link to the dating system, because in my case I had to call two different numbers.
It would also be useful to give an estimate on the expected dates for holidays or other conditions.","They could put more updated information, for example:
The direction of the SRE in Zacatecas is incorrect.
When you call for an appointment, the website that you suggest does not exist.
There is no way to know how to take your date until you call your phone SRE is also the number for appointments.
Generally have the most accurate information would help much."
106,SRE113,SRE-03-003,Sí,Sí,Donde y cómo puedo hacer una cita así cómo tiempos estimados que toma el trámite,Hacer citas por internet y teléfonos de información,2015-12-29,1,1,Where and how I can make an appointment and how estimated time taking process,Make appointments online and telephone information
109,SFP54,SFP-04-001,Sí,No,,la seguridad en tlalnepantla en tenayo chalma manden al ejercito hay muchos robos,2015-12-30,0,0,,safety in Tenayo Tlalnepantla chalma to send the army there are many robberies
117,SRE112,SRE-03-002,Sí,Sí,Agreguen la cuenta bancaria a esta información,El número de cuenta bancaria anexo,2015-12-31,1,1,Add the bank account this information,The bank account number Annex
120,SRE113,SRE-03-003,Sí,Sí,cómo realizo una cita para la recepción de mis documentos para una renovación,poner un apartado para las citas,2016-01-02,1,1,How I make an appointment to receive my documents for renewal,put aside for appointments
125,SRE113,SRE-03-003,Sí,Sí,No esta la liga para realizar las citas por internet,"Todo, el sitio es redundante y no sirve. Para encontrar la liga de citas es todo un misterio y cuando la encontré no se pudo abrir por problemas de verificación en los permisos de protección de información.",2016-01-02,0,0,Not the league for internet dating,"However, the site is redundant and does not work. To find the league dating is a mystery and when I found could not be opened for verification issues permits data protection."
126,SRE112,SRE-03-002,Sí,No,,"Es un verdadero problema encontrar el acceso para ingresar al trámite, en su encabezado debería haber una opción que diga INGRESAR a la cuenta, para realizar el trámite, ya lo he hecho 2 veces y en las 2 veces me he tardado bastante en llegar a esa opción, y ahora mismo no puedo, por qué tan complicado? en pasaportes debe decir registrarte o entrar, o algo, pero nada nada, estoy enojada,",2016-01-03,0,0,,"Is a real problem finding access to enter the process in its header should have an option that says enter the account for the process, I've done 2 times and 2 times I've taken enough to reach that option, and now I can not, why so complicated? passports must register or enter words, or something, but nothing nothing, I'm angry,"
127,SRE113,SRE-03-003,Sí,No,,"Que se pueda hacer la cita en línea com antes. EN caso de que si se pueda, entonces mejoren la manera en que se navega a través de su página porque no se entiende nada.",2016-01-04,0,0,,"You can make an appointment online com before. In the event that if you can, then improve the way you navigate through your site because they do not understand anything."
129,SRE112,SRE-03-002,No,Sí,"¿cómo rayos agendar una cita por Internet, o es únicamente vía telefónica? entonces ¿de qué sirve la página de Internet? es ineficiente la página contiene información irrelevante en el inicio cómo su estructura, y lo importante para un ciudadano común no se encuentra.","si existe una página de Internet, se pueden agendar citas por Internet sin necesidad de realizar una llamada, el menú principal debería ser más práctico, el mencionar la estructura de la secretaria es irrelevante para un ciudadano que busca únicamente los servicios que debe otorgar la secretaria y no los servidores públicos que finalmente no van a ayudar a un ciudadano común.",2016-01-04,0,0,"How the hell schedule an appointment online, or by phone only? then what good is the website? It is inefficient page contains irrelevant information at the beginning how its structure, and the important thing for an ordinary citizen is not.","If there is a website, you can schedule appointments online without having to make a call, the main menu should be more practical, mentioning the structure of the Secretariat it is irrelevant to a citizen who seeks only the services that should give Secretary and not the public servants who ultimately not going to help a common citizen."
131,SRE117,SRE-03-006-A,Sí,No,,"Que en las oficinas dieran prioridad al trámite para los niños, ya que el esperar a veces más de 3 horas hacen que ellos se desesperen.
Gracias.",2016-01-04,1,1,,"Offices that give priority to the process for children, as the wait sometimes more than 3 hours make them despair.
Thank you."
133,SRE113,SRE-03-003,No,Sí,información sobre pagos extras y que se necesita exactamente,ser más prudentes y ayudar al cliente cómo es necesario no tratarlo cómo a un inepto o que les están pidiendo un favor,2016-01-04,0,0,information on overpayments and it takes exactly,be more prudent and help the client how necessary not treat him like an inept or are asking for a favor
135,SRE113,SRE-03-003,Sí,No,,"tengo una semana tratando de hacer cita al 01-800 8010773 y la grabación no me acepta el numero 1 en el menu , ni ningun numero, sigue la grabadora hablando y yo necesito una cita. Quiero hacer la cita por internet y no funciona . Hablo a la oficina de enlace en apodaca y no contestan. Hablo a la oficina de monterrey y me dicen que debo Hablar al 01800 que menciona para la cita. Y cómo HAGO CITA SINO FUNCIONA¡¡¡",2016-01-04,0,0,,"I have a week trying to make an appointment to the 01-800 8010773 and recording did not accept the number 1 in the menu, or any number, follow the talking recorder and I need an appointment. I want to make an appointment online and does not work. I speak to the liaison office in Apodaca and no answer. I speak to the Monterrey office and tell me that I must speak to the 01800 mentioned for the appointment. And how I CITA SINO FUNCIONA¡¡¡"
139,SAT766,SAT-01-035,Sí,Sí,"Acuse de recepción, donde tramitarlo",ha sido difícil mandar las declaraciones con la nueva interfaz,2016-01-04,1,1,"Acknowledgment, which process it",it has been difficult to send statements to the new interface
140,INM820,INM-03-009-D,No,Sí,"la liga para generar el pago de derechos nunca aparece, así cómo la liga para realizar la solicitud en línea.","La anterior página estaba muy clara, los requisitos, solicitudes, seguimiento y pago de derechos, no es funcional cómo se encuentra ahora.",2016-01-04,2,1,"the league to generate royalty payments never appears, and the league to make the request online.","Previous page was very clear, requirements, applications, monitoring and payment of fees, is not functional as it is now."
142,SRE159,SRE-03-015,Sí,Sí,Incluir en la hoja de requisitos. cómo notas de observación los pormenores más frecuentes en que nos hallamos implicados tales cómo:q la acta sea reciente;revisar q no sea contemporánea;y algunos más que sus empleados ya conocen de sobra...,Descentralizar la expedición de visa y pasaporte.y q al usuario que haya perdido una cita x cuestiones d requisitos darles prioridad en su próxima cita...y q una cita no tenga un tiempo mayor a tres días de espera del momento que se solicita....que entre en operación la oficina de enlace de la cd. d coatzacoalcos veracruz xfavor ya q habemos muchos usuario que requerimos del servicio...,2016-01-04,0,1,"Include in the sheet requirements. observation notes how frequently the details in which we are involved such how: q the record is recent; check q it is not contemporary, and some more that their employees already know plenty ...",Decentralize the issuance of visa and pasaporte.yq to the user who has missed an appointment x issues d give priority requirements at your next appointment ... yq an appointment no longer have a three day waiting for the time requested ... .that into operation the liaison office of the cd. d coatzacoalcos veracruz xfavor and q habemos many users that the service we require ...
144,ISSSTE628,FOVISSSTE-00-010-C,No,Sí,"Falta poder realizar o consultar la actualización del estado de cuenta en línea, no todos tenemos horario cómo el de ustedes ni tampoco trabajamos en el centro.",Poder consultar o realizar trámites en línea,2016-01-04,0,0,"Failure to perform or refer to update account status online, we not all have times like yours nor work in the center.",To consult or carry out procedures online
146,SRE160,SRE-03-016,No,Sí,contesten el teléfono mexitel,contestar el teléfono para citas,2016-01-04,0,1,MEXITEL answer the phone,answer the phone for appointments
148,INM278,INM-03-008,Sí,Sí,especificar el papeleo que se requiere para el trámite,el trámite en otros estados asi se podra realizar el trámite más rapido ya q hay q viajar largas distancias,2016-01-05,1,1,specify the required paperwork for processing,the process in other states so may make the process more quickly and there q q travel long distances
153,SEGOB171,SEGOB-05-005,No,Sí,contestar el Teléfono para citas,"Ahora bien si ya se contaba con un CURP correcto porque ahora no existe? fue error al pasar datos, uno nació foráneo y tiene que conseguir acta de nacimiento original?
uno no puede corregir los errores de la autoridad",2016-01-05,0,0,answer the phone for appointments,"But if you already had a right CURP because now not exist? error was spending data, one foreign born and have to get original birth certificate?
one can not correct the errors of authority"
154,SFP54,SFP-04-001,Sí,Sí,Que hay oficinas en todos los estados de la república mexicana,Que hay oficinas en todos los estados de la república mexicana,2016-01-05,1,1,There are offices in all states of the Mexican Republic,There are offices in all states of the Mexican Republic
157,SRE260,SRE-01-033,Sí,No,,Actualizaron la página y no aparece el seguimiento de trámite tengo 1 hora tratando de ver el proceso de mi trámite y nada tengo más de un mes en espera,2016-01-05,0,1,,They updated the page and follow procedure appears I have 1 hour trying to see the status of my application and I have nothing more than a month waiting
160,SRE159,SRE-03-015,Sí,Sí,"Ayer fui a mi cita y no me aceptaron el pago que llevaba del pasaporte, deberían poner un ejemplo o algo para cuando se hacen los pagos por internet.
Saludos",Sus motivos por rechazo.,2016-01-05,0,1,"Yesterday I went to my appointment and did not accept me wearing payment of the passport, should set an example or something for when payments are made online.
Cheers",Their reasons for rejection.
162,INM823,INM-03-010-B,No,Sí,No están los documentos para el pago de derechos y el formato para realizar el trámite migratorio.,Poner toda la información que corresponde al trámite. Está muy escasa.,2016-01-05,0,1,Are not documents for the payment of fees and the format for the migration process.,Put all the information corresponding to the process. It is very scarce.
163,SRE112,SRE-03-002,No,Sí,"Que se indique dónde y cómo bajar el formato de pago y en qué institución bancaria realizarlo.

El formato de la página de la Secretaría de Relaciones Exteriores está muy confusa.

Lejos de simplificar los trámites o de encontrar información lo confunden más.","Hacer la página más sencilla y no tan complicada.

Es imposible acceder al directorio de funcionarios y los datos para contactarlos.

Cuál simplificación?

Cuál transparencia?

Un estudiante de bachillerato puede hacer mejor una página.",2016-01-06,0,0,"That indicate where and how to lower payment format and in what bank do it.

The format of the website of the Ministry of Foreign Affairs is very confusing.

Far from simplifying procedures or to find more information confuse.","Make the most simple and not so complicated page.

It is impossible to access the directory officials and data to contact them.

What simplification?

What transparency?

A high school student can better make a page."
169,SEDESOL665,SEDESOL-10-032-D,Sí,Sí,"Utilizar un lenguaje más fluido y no tan ""formal""
Por ejemplo: 
Los objetivos, o requisitos que requiere el proyecto para su evaluación, que explicaran más a detalle pero más simplificado y resumido.","Los objetivos, o requisitos que requiere el proyecto para su evaluación, que explicaran más a detalle pero más simplificado y resumido.",2016-01-06,1,1,"Use a more fluid language and not as ""formal""
For example:
Objectives or requirements required for the project for evaluation, to explain more in detail but more simplified and summarized.","Objectives or requirements required for the project for evaluation, to explain more in detail but more simplified and summarized."
172,SRE147,SRE-03-007-D,No,Sí,¿dónde se agendan las citas? fatal interfase.,"En mucho, derivar en una sola pestaña dónde rayos se agendan las citas vía internet.",2016-01-06,0,0,Where appointments are scheduled? fatal interface.,"Much, lead to a single ray tab where appointments are scheduled via the Internet."
176,SRE112,SRE-03-002,Sí,Sí,los números de cuenta al que se realiza el depósito y las instituciones bancarias en las que se puede realizar el pago.,más información,2016-01-07,1,1,account numbers to which the deposit and banking institutions in which they can make the payment is made.,more information
179,INM821,INM-03-009-E,Sí,Sí,"creo que en esta página necesita poner el formato de pago de derechos,es que ahora no puedo encontrarlo.especialmente para la persona que no entiende tanto español,cómo yo.","el website viejo es mejor que lo que nuevo,el nuevo es demasiado complicado",2016-01-07,0,1,"I think on this page you need to put the format of payment of fees, is that now I can not encontrarlo.especialmente for the person who does not understand much Spanish, like me.","the old website is better than new, the new one is too complicated"
180,SRE113,SRE-03-003,No,Sí,"Cómo hacer el pago, enlace para la forma de pago y lugares donde se puede pagar",Agregando datos y el enlace para imprimir el formato de pago de derechos productos y aprovechamiento,2016-01-07,1,1,Making payment link the payment and places where you can pay,Adding data and link to print payment format products and exploitation rights
181,STPS585,STPS-04-003,Sí,Sí,No se ubica el formato CD-5,Suban y/o faciliten la ubicación de los formatos.,2016-01-07,1,1,Do not locate the CD-5 format,Suban and / or facilitate the location of formats.
185,SRE112,SRE-03-002,No,Sí,Las ligas de las oficinas de enlace no funcionan y la información resulta algo confusa para mucha gente,"que la información sea muy concisa, sin tantos saltos de un link a otro (que de todas maneras no funcionan correctamente) y posiblemente un chat en línea pudiera ser de mucha ayuda para ayudar",2016-01-07,1,2,Leagues liaison offices do not work and the information is somewhat confusing to many people,"the information is very concise, without so many jumps from one link to another (which anyway do not work correctly) and possibly an online chat could be helpful to help"
186,SRE112,SRE-03-002,No,Sí,ENFOCARSE EN PODER PROGRAMAR LA CITA POR MEDIO DE LA WEB,MEJORAR EL PROGRAMA PARA PODER AGENDAR CITAS POR LA WEB,2016-01-07,0,0,FOCUS ON APPOINTMENT SETTING THE POWER THROUGH THE WEB,IN ORDER TO IMPROVE THE PROGRAM FOR WEB schedule appointments
187,SFP54,SFP-04-001,No,Sí,ESTATUS DE TRÁMITE,la PÁGINA WEB,2016-01-07,0,0,STATUS OF PROCEEDINGS,the website
192,STPS582,STPS-04-002,No,Sí,proporcionar el nuevo formato DC-4 en versión editable,aclarar cuando se puede presentar en electrónico o físico,2016-01-07,1,1,providing the new DC-4 format editable version,clarify when it can be in electronic or physical
193,SRE112,SRE-03-002,No,Sí,Los requisitos para tramitar el pasaporte por internet cómo se anunció en el mes de septiembre del 2015,"Que se pueda renovar el pasaporte por internet cómo la SRE lo anunció en el mes de septiembre del 2015. Ya que no hay disponibilidad para hacer citas para los meses de enero y febrero del 2016,lo cual es una verdadera problemática para los que requerimos renovación.",2016-01-07,0,1,The requirements for online processing passport as announced in September 2015,"You can renew your passport online how SRE was announced in September 2015. Since there is no availability for appointments for the months of January and February 2016, which is a problematic true for which we require renewal ."
194,SRE113,SRE-03-003,No,Sí,los pasos para hacer una cita no encuentro la manera de hacerla en internet hay paginas donde piden un pago para poder hacer una cita y para hacer el pago me piden la cita osea que cómo??????????????? cómo hacer una cita?paso a paso,entiendo que quieren agilizar el trámite pero no podrían hacer algo simple para mi ha sido más sencillo hacer una cita para una visa que para un pasaporte,2016-01-07,1,2,steps to make an appointment can not find the way to make Internet pages where they ask no payment to make an appointment and to make payment ask me how the bone appointment ????????????? ?? how to make an appointment? step by step,I understand they want to speed up the process but could not do something simple for me it was easier to make an appointment for a visa for a passport
195,SRE112,SRE-03-002,No,Sí,La sede de trámite para los que vivimos en la delegación Venustiano Carranza,"Clarar mejor donde se realiza el trámite y qué tiempo lleva éste. Sólo se menciona documentación y costos, pero no dice nada realmente del proceso.",2016-01-07,1,1,Host process for those who live in the delegation Venustiano Carranza,"Clarar better where the procedure is done and how long it takes. Documentation and costs only mentioned, but says nothing really of the process."
196,SRE112,SRE-03-002,Sí,Sí,"Me informan que puede realizarse la cita via internet, pero no veo ningun enlace para realizar el trámite.",Favor de colocar el enlace para solicitar la cita y realizar el pago del pasaporte,2016-01-07,1,2,"I am informed that the appointment via internet can be done, but I see no link to perform the procedure.",Please place the link to request the appointment and pay of the passport
197,SRE112,SRE-03-002,No,No,,"Todo, cómo tienen para avión nuevo de Peña pero no pueden mejorar este sitio de internet para hacer las citas en línea",2016-01-08,0,0,,"However, as they have for new aircraft Peña but can not improve this website for online dating"
200,AFSEDF842,AFSEDF-01-014,Sí,Sí,"DICE: ¡Consulta cómo realizar la preinscripción a la educación básica!

¿Y POR QUÉ NO COLOCAR EL LINK QUE TE LLEVA A ESA CONSULTA SUGERIDA ?","NECESITAN UN ÁREA DE ASEGURAMIENTO DE LA CALIDAD, YO PUEDO AYUDARLES A ESO ... ESTE MI CELULAR 55-2532-5086. OFREZCO MIS SERVICIOS PROFESIONALES.",2016-01-08,0,0,"DICE: See how to pre-register to basic education!

AND WHY NOT PUT THE LINK THAT TAKES YOU TO SEE THAT SUGGESTED?","NEED AREA QUALITY ASSURANCE, I CAN HELP THEM THAT ... THIS MY PHONE 55-2532-5086. MY PROFESSIONAL SERVICES OFFERING."
201,SRE112,SRE-03-002,No,Sí,el pinche enlace para sacar la cita,el pinche enlace para sacar la cita,2016-01-08,0,0,Click the link to get the quote,Click the link to get the quote
203,SRE147,SRE-03-007-D,Sí,No,,Que las citas sean por Internet con opción a elegir horario.,2016-01-08,1,1,,That appointments are Internet with option to choose time.
204,INM811,INM-03-009-A,Sí,No,,"Hacer posible realizar pagos en línea, para evitar colas en el banco.",2016-01-08,1,2,,Make it possible to make payments online to avoid queues at the bank.
205,SFP54,SFP-04-001,Sí,No,,"En un gobierno tan complejo y controversial cómo en el que actualmente vivimos, es importante alzar la voz, y si es necesario denunciar y señalar a los malos funcionarios; pero también hay que festejar a las instituciones que están haciendo bien las cosas, y el trámite del pasaporte actualmente es ágil, rápido, nada burocrático y con muy buena atención a los asistentes. El pasado domingo 3 enero asistí a tramitar mi pasaporte en las oficinas de Cuajimalpa, el personal en las oficinas te detallan la información necesaria, no más, no menos, la suficiente y clara. Dentro de las oficinas había mujer que evidentemente llevaba su documentación incompleta, empezó a tener una actitud bastante prepotente al personal que daba los turnos y exigía el suyo, a pesar de que llevaba la documentación mal. La mujer se acercó a un dictaminador le empezó a gritar groserías y le aventó unos documentos, la conducta y actitud de la mujer fue tan explosiva que todos dentro de la oficina nos dimos cuenta. El dictaminador no decía nada, únicamente escuchaba a la señora y respetuosamente la observaba. Mi sugerencia es que debería existir personal de seguridad dentro de las oficinas, porque el personal de las ventanillas, ni tampoco el que entrega los turnos, merecen que señoras cómo esta tengan conductas tan nefastas y groseras, que pueden poner en peligro la integridad del personal. Seguramente cómo esa mujer ha habido muchas, por lo cual sería indicado para que en cuanto exista una conducta similar de cualquier asistente a las oficinas, sea evacuado inmediatamente.",2016-01-09,2,2,,"In such a complex and controversial government and in which we live, it is important to speak out, and if necessary report and point out the bad officers; but we must also celebrate institutions that are doing things right, and the processing of the passport is currently agile, quick, unbureaucratic and very good attention to attendees. Sunday January 3 process my passport attended at the offices of Cuajimalpa, staff in the offices you detailing, no more, no less, sufficient and clear information. Within the offices woman had evidently carried his incomplete documentation, she began to have a very arrogant attitude to the staff who gave shifts and demanded his, despite carrying the wrong documentation. The woman approached a Decider began to yell obscenities and threw some documents, behavior and attitude of women was so explosive that everyone in the office we realized. The Decider said nothing, only listened respectfully to the lady and watched. My suggestion is that there should be security personnel inside the offices, because the staff of the windows, nor the handing shifts, deserve ladies like this have such dire and rude behavior that can endanger the integrity of staff . Sure how that woman have been many, so it would be suitable for that as there is a similar conduct of any office assistant, be evacuated immediately."
207,SFP54,SFP-04-001,No,Sí,Den los datos que se solicitan es una pérdida de tiempo tramitar las cosas en sus oficinas ya que son muy lentos y atienden pésimo.,TODO,2016-01-09,0,0,Give the information requested is a waste of time to process things in their offices as they are very slow and serve lousy.,EVERYTHING
208,SRE112,SRE-03-002,Sí,No,,"Podrian empezar con tener activa la línea telefónica y el link de internet para agendar las citas, he intentado hacerlo de ambas formas y ninguna de las dos está funcionando. 
Por su atención gracias",2016-01-09,0,0,,"Could start with having active telephone line and Internet link to schedule appointments, I have tried it both ways and neither is working.
For your attention thanks"
209,SRE113,SRE-03-003,No,Sí,"Donde se hace la cita, no está claro... donde esta el formato,","La información está muy alargada y hay algunas inconsistencias entre los documentos que se deben presentar, sobre todo en la información complementaria",2016-01-10,1,0,"Where the appointment is made, it is not clear ... where is the format,","The information is very long and there are some inconsistencies among the documents to be submitted, particularly in the supplementary information"
210,SRE113,SRE-03-003,No,Sí,"en caso de renovación hace falta poner si se ocupan fotos y también hace falta el formato para pagar, considero que esta nuev actualización de la página hace más complicado el trámite puesto que la forma de antes era mucho más fácil de entender y todo estaba a la mano, era más rapido antes y todo quedaba claro además no se puede acceder a la opción de citas por internet.",completar los pasos que debemos seguir por que siento que la información está a medias ademas cambiar el formato de la página porque no se entiende.,2016-01-11,1,1,"in case of renewal need to put if photos are concerned and need the format to pay, I consider this New York New York updating the page becomes more complicated procedure since the form before it was much easier to understand and everything was up to hand was faster before and everything was clear also can not access the internet dating option.",complete the steps we must follow because I feel that the information is also half change the format of the page because it is not understood.
214,INM820,INM-03-009-D,Sí,No,,Formato Básico ¿en donde se puede llenar?,2016-01-11,1,1,,In Basic format where you can fill?
215,SRE113,SRE-03-003,Sí,Sí,Lugares y cuentas y/o referencias para realizar los respectivos pagos,Lo que propongo en la sección anterior.,2016-01-11,1,2,Locations and accounts and / or references for the respective payments,What I propose in the previous section.
216,CFE177,CFE-00-004,Sí,No,,"A LA HORA DE CARGAR LOS DATOS DEL DOMICILIO cómo EL MUNICIPIO Y LA COLONIA, LA PÁGINA SE BLOQUEA O FALLA EL SISTEMA Y TIENES QUE VOLVER A CARGAR LOS DATOS. ES MUY TARDADO TIENES QUE INTENTARLO VARIAS VECES. EN MI CASO ABRÍ LOS EXPLORADORES GOOGLE CHROME, MOZILLA FIREFOX E INTERNET EXPLORER Y CON TODOS ES EL MISMO ERROR.",2016-01-11,0,0,,"WHEN CHARGING DATA domicile and municipality and COLOGNE, the page is blocked or the system fails and you have to reload the data. It is very time consuming have to try several times. IN MY CASE Abri EXPLORERS GOOGLE CHROME, FIREFOX MOZILLA AND INTERNET EXPLORER AND ALL IS THE SAME ERROR."
