poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
1,SEP517,SEP-23-002-A,1,No,,los documentos se puedan entregar de forma electronica,2015-12-23,1.0,1,,documents can be delivered electronically,,electrónica,,documentos forma electrónica,,,,documents
3,SRE151,SRE-03-009-B,0,Sí,las citas via internet antes las podia hacer ahora me resulta imposible o no me da la opcion,seria mejor el sistema anterior donde se podia hacer la cita por internet,2015-12-23,1.0,1,appointments via the internet before now i could make it impossible or does not give me the option,it would better the previous system where you could make an appointment online,imposible,mejor anterior,citas imposible opción,mejor sistema anterior cita internet,impossible,better previous,Appointments Internet impossible option,better previous system appointment
6,SRE144,SRE-03-007-A,1,Sí,la informacion de las citas no esta al alcance es muy dificil localizarla,presenten la informacion para hacer citas de forma clara,2015-12-23,0.0,1,information appointments to the extent not it is very difficult to locate,information presented to dating form clara,DIFÍCIL,CLARA,INFORMACIÓN CITAS ALCANCE DIFÍCIL,INFORMACIÓN CITAS FORMA CLARA,difficult,,INFORMATION APPOINTMENTS EXTENT difficult locate,INFORMATION DATING FORM CLARA
7,SRE112,SRE-03-002,1,No,,poder agendar cita por internet  eso seria de mucha utilidad,2015-12-23,1.0,2,,to schedule appointment online that would be very useful,,,,cita utilidad,,useful,,schedule appointment useful
12,SRE113,SRE-03-003,0,Sí,no se puede agendar la cita para la renovacion del pasaporteen ninguna parte de su pagina estaofrecen ese servicio pero no esta en ninguna parte,la pagina esta saturada de informacion que no es util y lo q necesitamos no esta o no es facil de buscarejemplono encuentro la liga para agendar una cita para la renovacion del pasaporte,2015-12-25,0.0,1,you can not schedule the appointment for passport renewal  in any part of your page  offer that service but it is nowhere,page is saturated with information that is not useful  and q need is not or is not easy to find  example  i do not find the league to schedule an appointment for passport renewal,,saturada util fácil,cita renovación pasaporte parte página servicio parte,página saturada información util fácil ..ejemplo liga cita renovación pasaporte,,useful easy,appointment passport renewal part page service,information useful easy find example league schedule appointment passport renewal
15,IMSS184,IMSS-02-066-D,1,No,,incluir telefono de contacto,2015-12-26,1.0,1,,include contact phone,,,,teléfono contacto,,,,contact phone
105,SRE113,SRE-03-003,0,Sí,"hace falta un enlace con el sistema de citas porque en mi caso tuve que llamar a dos numeros distintos 
tambien seria util que dieran un estimado en las fechas de espera por vacaciones o otras condiciones","podrian poner informacion mas actualizada por ejemplo
la direccion de las sre en zacatecas es incorrecta
cuando llamas para solicitar una cita la pagina de internet que te sugieren no existe
no hay forma de saber como sacar tu cita hasta que llamas al telefono de tu sre que ademas no es el numero para las citas
en general tener la informacion mas exacta ayudaria mucho",2015-12-27,1.0,0,"you need a link to the dating system because in my case i had to call two different numbers
it would also be useful to give an estimate on the expected dates for holidays or other conditions","they could put more updated information for example
the direction of the sre in zacatecas is incorrect
when you call for an appointment the website that you suggest does not exist
there is no way to know how to take your date until you call your phone sre is also the number for appointments
generally have the most accurate information would help much",distintos seria util estimado condiciones,actualizada incorrecta exacta,falta enlace sistema citas caso números distintos seria util estimado fechas vacaciones condiciones,información actualizada ejemplo dirección incorrecta llamas cita página internet cita llamas citas general información exacta,different useful,incorrect accurate,link dating system case different numbers useful estimate dates holidays conditions,information example direction SRE Zacatecas incorrect call appointment website way date call phone SRE number appointments accurate information
106,SRE113,SRE-03-003,1,Sí,donde y como puedo hacer una cita asi como tiempos estimados que toma el tramite,hacer citas por internet y telefonos de informacion,2015-12-29,1.0,1,where and how i can make an appointment and how estimated time taking process,make appointments online and telephone information,estimados,internet,cita tiempos estimados trámite,citas internet teléfonos información,,online,appointment time taking process,appointments online telephone information
109,SFP54,SFP-04-001,1,No,,la seguridad en tlalnepantla en tenayo chalma manden al ejercito hay muchos robos,2015-12-30,0.0,0,,safety in tenayo tlalnepantla chalma to send the army there are many robberies,,tlalnepantla,,seguridad tlalnepantla tenayo chalma ejercito robos,,many,,safety Tenayo Tlalnepantla army many robberies
117,SRE112,SRE-03-002,1,Sí,agreguen la cuenta bancaria a esta informacion,el numero de cuenta bancaria anexo,2015-12-31,1.0,1,add the bank account this information,the bank account number annex,bancaria,bancaria,cuenta bancaria información,número bancaria anexo,,,bank account information,bank account number Annex
