is_info_useful,missing_info,improvements,date,missing_info_es,improvements_es,missing_info_en,improvements_en,institution_name,institution_branch,institution_window
1,,documentos puedan entregar forma electronica,2015-12-23,,documentos puedan entregar forma electronica,,documents delivered electronically,SEP,23,002
0,citas via internet podia hacer ahora resulta imposible da opcion,seria mejor sistema anterior podia hacer cita internet,2015-12-23,citas via internet podia hacer ahora resulta imposible da opcion,seria mejor sistema anterior podia hacer cita internet,appointments via internet could make impossible give option,would better previous system could make appointment online,SRE,03,009
1,informacion citas alcance dificil localizarla,presenten informacion hacer citas forma clara,2015-12-23,informacion citas alcance dificil localizarla,presenten informacion hacer citas forma clara,information dating scope difficult locate,information presented dating form clara,SRE,03,007
1,,poder agendar cita internet seria mucha utilidad,2015-12-23,,poder agendar cita internet seria mucha utilidad,,schedule appointment online would useful,SRE,03,002
0,puede agendar cita renovacion pasaporteen ninguna parte pagina estaofrecen servicio ninguna parte,pagina saturada informacion util q necesitamos facil buscarejemplono encuentro liga agendar cita renovacion pasaporte,2015-12-25,puede agendar cita renovacion pasaporteen ninguna parte pagina estaofrecen servicio ninguna parte,pagina saturada informacion util q necesitamos facil buscarejemplono encuentro liga agendar cita renovacion pasaporte,schedule appointment passport renewal anywhere page offer service anywhere,product saturated information useful q need easy find example find league schedule appointment renewal passport,SRE,03,003
1,,incluir telefono contacto,2015-12-26,,incluir telefono contacto,,include contact phone,IMSS,02,066
0,hace falta enlace sistema citas caso llamar dos numeros distintos tambien seria util dieran estimado fechas espera vacacioones condiciones,poderian poner informacion mas actualizada ejemplo direccion sre zacatecas incorrecta llamas solicitar cita pagina internet sugieren existe forma saber sacar cita llamas telefono sre ademas numero citas general tener informacion mas exacta ayudaria,2015-12-27,hace falta enlace sistema citas caso llamar dos numeros distintos tambien seria util dieran estimado fechas espera vacacioones condiciones,poderian poner informacion mas actualizada ejemplo direccion sre zacatecas incorrecta llamas solicitar cita pagina internet sugieren existe forma saber sacar cita llamas telefono sre ademas numero citas general tener informacion mas exacta ayudaria,need link dating system case call two different numbers would also help give estimate expected dates vacacioones conditions,poderian put updated information example direction sre zacatecas incorrect call appointment website suggest exist way know take date call phone sre also number appointments generally accurate information would help much,SRE,03,003
1,puedo hacer cita asi tiempos estimados toma tramite,hacer citas internet telefonos informacion,2015-12-29,puedo hacer cita asi tiempos estimados toma tramite,hacer citas internet telefonos informacion,make appointment estimated time taking processed,make appointments online telephone information,SRE,03,003
1,,seguridad tlanepantla tenayo chalma manden ejercito robos,2015-12-30,,seguridad tlanepantla tenayo chalma manden ejercito robos,,tlanepantla security tenayo chalma send army many robberies,SFP,04,001
1,agreguen cuenta bancaria iformacion,numero cuenta banacaia anexo,2015-12-31,agreguen cuenta bancaria iformacion,numero cuenta banacaia anexo,add bank account iformacion,banacaia account number annex,SRE,03,002
