is_info_useful,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_es,improvements_es,institution_cat
1,,los documentos se puedan entregar de forma electronica,0,1.0,1,#VALUE!,los documentos se puedan entregar de forma electrónica,639.0
0,las citas via internet antes las podia hacer ahora me resulta imposible o no me da la opcion,seria mejor el sistema anterior donde se podia hacer la cita por internet,0,1.0,1,Las citas via Internet antes las podía hacer ahora me resulta imposible o no me da la opción,Seria mejor el sistema anterior donde se podia hacer la cita por internet,736.0
1,"la informacion de las citas no esta al alcance, es muy dificil localizarla",presenten la informacion para hacer citas de forma clara,0,0.0,1,"LA INFORMACION DE LAS CITAS NO ESTA AL ALCANCE, ES MUY DIFICIL LOCALIZARLA",PRESENTEN LA INFORMACION PARA HACER CITAS DE FORMA CLARA,729.0
1,,"poder agendar cita por internet , eso seria de mucha utilidad",0,1.0,2,#VALUE!,"Poder agendar cita por Internet , eso sería de mucha utilidad",722.0
0,no se puede agendar la cita para la renovacion del pasaporte...en ninguna parte de su pagina esta.....ofrecen ese servicio pero no esta en ninguna parte,la pagina esta saturada de informacion que no es util.... y lo q necesitamos no esta o no es facil de buscar.....ejemplo....no encuentro la liga para agendar  una cita para la renovacion  del pasaporte,2,0.0,1,no se puede agendar la cita para la renovacion del pasaporte...en ninguna parte de su pagina esta.....ofrecen ese servicio pero no esta en ninguna parte,la pagina esta saturada de informacion que no es util.... y lo q necesitamos no esta o no es facil de buscar.....ejemplo....no encuentro la liga para agendar  una cita para la renovacion  del pasaporte,723.0
1,,incluir telefono de contacto,3,1.0,1,#VALUE!,Incluir telefono de contacto,151.0
0,"hace falta un enlace con el sistema de citas, porque en mi caso tuve que llamar a dos numeros distintos. 
tambien seria util que dieran un estimado en las fechas de espera por vacacioones o otras condiciones.","poderian poner informacion mas actualizada, por ejemplo:
la direccion de las sre en zacatecas es incorrecta.
cuando llamas para solicitar una cita, la pagina de internet que te sugieren no existe.
no hay forma de saber como sacar tu cita hasta que llamas al telefono de tu sre que ademas no es el numero para las citas.
en general tener la informacion mas exacta ayudaria mucho.",4,1.0,0,"Hace falta un enlace con el sistema de citas, porque en mi caso tuve que llamar a dos numeros distintos. 
Tambien seria util que dieran un estimado en las fechas de espera por vacacioones o otras condiciones.","Poderian poner informacion mas actualizada, por ejemplo:
La direccion de las SRE en Zacatecas es incorrecta.
Cuando llamas para solicitar una cita, la pagina de internet que te sugieren no existe.
No hay forma de saber como sacar tu cita hasta que llamas al telefono de tu SRE que ademas no es el numero para las citas.
En general tener la informacion mas exacta ayudaria mucho.",723.0
1,donde y como puedo hacer una cita asi como tiempos estimados que toma el tramite,hacer citas por internet y telefonos de informacion,6,1.0,1,Donde y como puedo hacer una cita así como tiempos estimados que toma el tramite,Hacer citas por internet y teléfonos de información,723.0
1,,la seguridad en tlanepantla en tenayo chalma manden al ejercito hay muchos robos,7,0.0,0,#VALUE!,la seguridad en tlanepantla en tenayo chalma manden al ejercito hay muchos robos,659.0
1,agreguen la cuenta bancaria a esta iformacion,el numero de cuenta banacaia anexo,8,1.0,1,Agreguen la cuenta bancaria a esta iformación,El número de cuenta banacaia anexo,722.0
1,como realizo una cita para la recepcion de mis documentos para una renovacion,poner un apartado para las citas,10,1.0,1,como realizo una cita para la recepción de mis documentos para una renovación,poner un apartado para las citas,723.0
1,no esta la liga para realizar las citas por internet,"todo, el citio es redundantey no sirve. para encontrar la liga de citas es todo un misterio y cuando la encontre no se pudo abrir por problemas de verificacion en los permisos de proteccion de informacion.",10,0.0,0,No esta la liga para realizar las citas por internet,"Todo, el citio es redundantey no sirve. Para encontrar la liga de citas es todo un misterio y cuando la encontré no se pudo abrir por problemas de verificación en los permisos de protección de información.",723.0
1,,"es un verdadero problema encontrar el acceso para ingresar al tramite, en su encabezado deberia haber una opcion que diga ingresar a la cuenta, para realizar el tramite, ya lo he hecho 2 veces y en las 2 veces me he tardado bastante en llegar a esa opcion, y ahora mismo no puedo, por que tan complicado?  en pasaportes debe decir registrarse o entrar, o algo, pero nada nada, estoy enojada,",11,0.0,0,#VALUE!,"Es un verdadero problema encontrar el acceso para ingresar al tramite, en su encabezado debería haber una opción que diga INGRESAR a la cuenta, para realizar el trámite, ya lo he hecho 2 veces y en las 2 veces me he tardado bastante en llegar a esa opción, y ahora mismo no puedo, por qué tan complicado?  en pasaportes debe decir registrarse o entrar, o algo, pero nada nada, estoy enojada,",722.0
0,contesten el telephone mexitel,contestar el telephono para citas,12,0.0,1,contesten el telephone mexitel,contestar el telephono para citas,742.0
0,"falta poder realizar o consultar la actualizacion del estado de cuenta en linea, no todos tenemos horario como el de ustedes ni tampoco trabajamos en el centro.",poder consultar o realizar tramites en linea,12,0.0,0,"Falta poder realizar o consultar la actualización del estado de cuenta en línea, no todos tenemos horario como el de ustedes ni tampoco trabajamos en el centro.",Poder consultar o realizar trámites en línea,96.0
1,incluir en la hoja de requisitos. como notas de observacion los pormenores mas frecuentes en q nos hayamos implicados tales como:q la acta sea resiente;revisar q no sea contemporanea;y algunos mas q sus empleados ya conocen d sobra...,desentralizar la expedicion de visa y pasaporte.y q al usuario q haya perdido una cita x cuestiones d requisitos darles prioridad en su proxima cita...y q una cita no tenga un tiempo mayor a tres dias d espera del momento q se solicita....q entre en operacion la oficina d enlece de la cd. d coatzacoalcos veracruz xfavor ya q habemos muchos usuario q requerimos dl servicio...,12,0.0,1,Incluir en la hoja de requisitos. Como notas de observacion los pormenores mas frecuentes en q nos hayamos implicados tales como:q la acta sea resiente;revisar q no sea contemporanea;y algunos mas q sus empleados ya conocen d sobra...,Desentralizar la expedicion de visa y pasaporte.y q al usuario q haya perdido una cita x cuestiones d requisitos darles prioridad en su proxima cita...y q una cita no tenga un tiempo mayor a tres dias d espera del momento q se solicita....q entre en operacion la oficina d enlece de la cd. d coatzacoalcos veracruz xfavor ya q habemos muchos usuario q requerimos dl servicio...,741.0
0,"la liga para generar el pago de derechos nunca aparece, asi como la liga para realizar la solicitud en linea.","la anterior pagina estaba muy clara, los requisitos, solicitudes, seguimiento y pago de derechos, no es funcial como se encuentra ahora.",12,2.0,1,"la liga para generar el pago de derechos nunca aparece, así como la liga para realizar la solicitud en linea.","La anterior página estaba muy clara, los requisitos, solicitudes, seguimiento y pago de derechos, no es funcial como se encuentra ahora.",217.0
1,"acuse de recepcion, donde tramitarlo",ah sido dificil mandar las declaraciones con la nueve interfaz,12,1.0,1,"Acuse de recepción, donde tramitarlo",ah sido difícil mandar las declaraciones con la nueve interfaz,355.0
0,"¿como rayos agendo una cita por internet, o es unicamente via telefonica? entonces ¿de que sirve la pagina de internet? es ineficiente la pagina contiene informacion irrelevante en el inicio como su estructura, y lo importante para un ciudadano comun no se encuentra.","si existe una pagina de internet, se pueden agendar citas por internet sin necesidad de realizar una llamada, el menu principal deberia ser mas practico, el mencionar la estructura de la secretaria es irrelevante para un ciudadano que busca unicamente los servicios que debe otorgar la secretaria y no los servidores publicos que finalmente no van a ayudar a un ciudadano comun.",12,0.0,0,"¿como rayos agendo una cita por Internet, o es únicamente vía telefónica? entonces ¿de que sirve la pagina de Internet? es ineficiente la página contiene información irrelevante en el inicio como su estructura, y lo importante para un ciudadano común no se encuentra.","si existe una página de Internet, se pueden agendar citas por Internet sin necesidad de realizar una llamada, el menú principal debería ser mas practico, el mencionar la estructura de la secretaria es irrelevante para un ciudadano que busca únicamente los servicios que debe otorgar la secretaria y no los servidores públicos que finalmente no van a ayudar a un ciudadano común.",722.0
