Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha
1,SEP517,SEP-23-002-A,Sí,No,,los documentos se puedan entregar de forma electrónica,2015-12-23
3,SRE151,SRE-03-009-B,No,Sí,Las citas via Internet antes las podía hacer ahora me resulta imposible o no me da la opción,Seria mejor el sistema anterior donde se podia hacer la cita por internet,2015-12-23
6,SRE144,SRE-03-007-A,Sí,Sí,"LA INFORMACION DE LAS CITAS NO ESTA AL ALCANCE, ES MUY DIFICIL LOCALIZARLA",PRESENTEN LA INFORMACION PARA HACER CITAS DE FORMA CLARA,2015-12-23
7,SRE112,SRE-03-002,Sí,No,,"Poder agendar cita por Internet , eso sería de mucha utilidad",2015-12-23
12,SRE113,SRE-03-003,No,Sí,no se puede agendar la cita para la renovacion del pasaporte...en ninguna parte de su pagina esta.....ofrecen ese servicio pero no esta en ninguna parte,la pagina esta saturada de informacion que no es util.... y lo q necesitamos no esta o no es facil de buscar.....ejemplo....no encuentro la liga para agendar  una cita para la renovacion  del pasaporte,2015-12-25
15,IMSS184,IMSS-02-066-D,Sí,No,,Incluir telefono de contacto,2015-12-26
105,SRE113,SRE-03-003,No,Sí,"Hace falta un enlace con el sistema de citas, porque en mi caso tuve que llamar a dos numeros distintos. 
Tambien seria util que dieran un estimado en las fechas de espera por vacacioones o otras condiciones.","Poderian poner informacion mas actualizada, por ejemplo:
La direccion de las SRE en Zacatecas es incorrecta.
Cuando llamas para solicitar una cita, la pagina de internet que te sugieren no existe.
No hay forma de saber como sacar tu cita hasta que llamas al telefono de tu SRE que ademas no es el numero para las citas.
En general tener la informacion mas exacta ayudaria mucho.",2015-12-27
106,SRE113,SRE-03-003,Sí,Sí,Donde y como puedo hacer una cita así como tiempos estimados que toma el tramite,Hacer citas por internet y teléfonos de información,2015-12-29
109,SFP54,SFP-04-001,Sí,No,,la seguridad en tlanepantla en tenayo chalma manden al ejercito hay muchos robos,2015-12-30
117,SRE112,SRE-03-002,Sí,Sí,Agreguen la cuenta bancaria a esta iformación,El número de cuenta banacaia anexo,2015-12-31
120,SRE113,SRE-03-003,Sí,Sí,como realizo una cita para la recepción de mis documentos para una renovación,poner un apartado para las citas,2016-01-02
125,SRE113,SRE-03-003,Sí,Sí,No esta la liga para realizar las citas por internet,"Todo, el citio es redundantey no sirve. Para encontrar la liga de citas es todo un misterio y cuando la encontré no se pudo abrir por problemas de verificación en los permisos de protección de información.",2016-01-02
126,SRE112,SRE-03-002,Sí,No,,"Es un verdadero problema encontrar el acceso para ingresar al tramite, en su encabezado debería haber una opción que diga INGRESAR a la cuenta, para realizar el trámite, ya lo he hecho 2 veces y en las 2 veces me he tardado bastante en llegar a esa opción, y ahora mismo no puedo, por qué tan complicado?  en pasaportes debe decir registrarse o entrar, o algo, pero nada nada, estoy enojada,",2016-01-03
127,SRE113,SRE-03-003,Sí,No,,"Que se pueda hacer la citaen línea com antes. EN caso de que si se pueda, entonces mejoren la manera en que se navega a través de su página porque no se entiende nada.",2016-01-04
129,SRE112,SRE-03-002,No,Sí,"¿como rayos agendo una cita por Internet, o es únicamente vía telefónica? entonces ¿de que sirve la pagina de Internet? es ineficiente la página contiene información irrelevante en el inicio como su estructura, y lo importante para un ciudadano común no se encuentra.","si existe una página de Internet, se pueden agendar citas por Internet sin necesidad de realizar una llamada, el menú principal debería ser mas practico, el mencionar la estructura de la secretaria es irrelevante para un ciudadano que busca únicamente los servicios que debe otorgar la secretaria y no los servidores públicos que finalmente no van a ayudar a un ciudadano común.",2016-01-04
