Term,Counts
de,6603
",",5380
que,5147
.,5046
la,4415
y,3744
el,3705
en,3537
no,2598
para,2590
“,2280
a,2244
los,1865
se,1839
por,1674
DE,1358
las,1349
es,1255
QUE,1177
una,1058
un,1039
LA,932
con,883
Y,858
cita,832
hacer,824
me,812
del,795
ya,784
EL,782
lo,757
o,737
mas,709
mi,706
al,700
citas,699
EN,674
como,661
internet,655
NO,643
tramite,618
!,608
si,582
?,545
A,520
PARA,496
su,489
...,465
Ñ–n,452
realizar,448
esta,434
información,429
SE,422
POR,418
trámite,412
LOS,412
Que,396
poder,364
donde,351
este,348
pagina,347
hay,342
muy,336
todo,335
servicio,326
tiempo,324
solo,321
),318
linea,300
pago,297
(,296
oficinas,289
puede,284
pasaporte,279
más,278
porque,271
pero,270
La,267
ES,264
informacion,262
tener,258
sin,255
ser,254
sistema,252
El,250
LAS,248
uno,239
personas,239
sea,232
cuando,227
tramites,227
formato,226
pueda,225
No,222
:,221
documentos,219
nos,219
te,217
poner,215
UN,209
MAS,208
O,204
dar,204
TRAMITE,200
son,199
todos,198
puedo,195
tengo,194
En,192
línea,189
ME,188
personal,183
Â­a,183
UNA,180
DEL,179
YA,177
cada,175
CON,174
ni,173
INTERNET,173
hasta,172
sacar,171
página,171
MI,171
sus,171
atención,170
datos,168
mucho,167
Gracias,167
desde,166
correo,160
oficina,159
forma,158
agendar,157
tienen,157
mejorar,157
HACER,156
ir,156
solicitud,154
trabajo,152
cuenta,151
'',151
CITA,150
LO,149
gracias,148
caso,146
tiene,146
COMO,144
estado,144
CITAS,143
SU,143
nada,142
``,142
yo,139
le,138
gente,138
trÐ,137
bien,136
AL,136
requisitos,135
informaciÐ,135
mejor,134
eso,133
les,126
obtener,125
PAGINA,124
esto,123
SI,123
numero,122
pueden,122
manera,120
Poner,120
TODO,119
debe,117
favor,117
trámites,116
@,116
mismo,115
dice,115
pues,115
telefono,114
he,114
menos,113
portal,112
3,111
ÐŽs,111
”,111
Es,110
sobre,110
opciones,110
antes,109
pÐ,109
documento,108
persona,108
Internet,107
mÐ,107
Ñ,107
ESTA,107
hace,106
q,104
otra,104
siempre,104
opción,102
dan,102
telÐ,102
vía,100
tramitar,100
vez,100
puedan,99
2,99
anterior,98
ESTE,98
posible,97
CURP,96
proceso,96
SOLO,96
ustedes,96
solicitar,95
toda,94
estar,94
ÐŽmite,94
veces,93
;,93
teléfono,93
nunca,92
Ð,92
formatos,91
dos,91
respuesta,91
medio,91
registro,91
link,90
lugar,90
Por,89
ese,89
falta,89
tu,88
contestan,88
mes,88
meses,88
mis,88
ÐŽgina,87
estados,85
momento,84
via,84
e,83
cual,82
INFORMACION,81
liga,81
tan,81
horario,81
tanto,81
atencion,81
asi,80
muchas,80
cualquier,80
Â©fono,80
acceso,79
imprimir,79
saber,78
enlace,78
ayuda,78
encontrar,77
pagar,77
Si,77
fecha,76
ahora,75
otro,75
mal,75
tenemos,75
LINEA,75
clara,74
TRAMITES,74
acudir,74
está,74
horas,73
otros,73
HAY,73
debería,72
dudas,72
nombre,71
curp,71
problema,70
esa,70
ver,70
MUY,70
creo,70
Todo,69
deben,69
días,69
REALIZAR,69
estÐ,69
estos,69
Hacer,68
funciona,68
usuario,68
sitio,68
dÐ,68
PUEDE,68
ejemplo,67
hacerlo,67
misma,67
pedir,67
ciudad,67
PORQUE,66
dicen,65
llenar,65
da,65
algo,64
fue,64
todas,64
sean,64
PONER,64
LE,64
poco,64
SIN,64
constancia,63
hora,62
PODER,62
así,62
web,62
error,61
llevar,61
Dar,61
TIEMPO,61
fuera,61
tenga,60
pudiera,60
quien,60
horarios,60
informaciГіn,60
piden,60
TENER,60
hacen,59
Se,59
parte,59
SERVICIO,59
PAGO,59
UNO,59
sirve,58
dias,58
aparece,58
Los,58
completa,58
era,58
permite,58
MÐ,58
estoy,57
están,57
DONDE,57
5,57
necesario,56
cosas,56
hagan,56
NUMERO,56
seria,56
Me,56
PERO,56
tipo,56
SEA,56
NOS,56
GRACIAS,55
opcion,55
contesten,55
va,55
muchos,53
complicado,53
derechos,53
atenciÐ,53
Â­,53
llevo,53
DAR,53
fácil,52
Agregar,52
presencial,52
lÐ,52
SER,52
ÐŽ,52
alta,52
México,52
necesidad,51
tratando,51
haciendo,51
TENGO,51
años,51
quiero,51
PUEDA,51
alguien,51
etc,51
â€œN,51
contacto,50
perder,50
descargar,50
apoyo,50
OFICINAS,50
TELEFONO,50
día,50
esperar,49
1,49
01800,49
haya,49
entre,49
imposible,49
ninguna,49
SISTEMA,49
directamente,49
Â­an,49
dia,49
Incluir,48
SRE,48
TODOS,48
pongan,48
estamos,48
CORREO,48
sería,47
mucha,47
problemas,47
haber,47
llamada,47
ha,47
banco,47
Mi,47
4,47
directo,47
podemos,47
amigable,47
Â­nea,47
soy,47
telefÐ,47
NI,47
costo,47
FORMATO,47
permiso,47
CUANDO,47
IR,47
DESDE,47
verdad,47
entrar,46
estan,46
realmente,46
seguir,46
DATOS,46
alguna,46
generar,46
IMSS,46
’,46
paso,46
edad,46
usuarios,46
bueno,46
año,46
encuentro,45
nacimiento,45
nuevo,45
Ya,45
gobierno,45
necesita,45
nadie,45
10,45
vÐ,45
800,45
Poder,44
número,44
espera,44
acta,44
agilizar,44
también,44
FAVOR,44
Las,44
parece,44
deberían,44
01,44
MUCHO,44
BIEN,44
Â©,44
VIA,44
NADA,44
Para,43
tres,43
electrónico,43
cambio,43
SON,43
lista,43
tarde,43
fechas,43
abrir,42
estaba,42
chat,42
funcione,42
tiempos,42
resulta,42
deja,42
existe,41
requiere,41
evitar,41
tampoco,41
programa,41
diferentes,41
han,41
informaciÃ³n,41
facil,40
qué,40
pasos,40
domicilio,40
Tener,40
atender,40
hoy,40
Â©xico,40
den,40
intentando,40
dinero,40
pasaportes,39
decir,39
acceder,39
AGENDAR,39
renovar,39
deberian,39
ventanilla,39
..,39
credencial,39
hotmail.com,39
CADA,39
Ñ–,39
Al,39
DOCUMENTOS,39
llamadas,39
TIENE,39
queja,39
MГ©xico,39
TE,39
2016,38
sencillo,38
pagos,38
sólo,38
hoja,38
delegaciones,38
necesito,38
seguro,38
PASAPORTE,38
ocupado,38
podido,38
disponibles,38
ÐŽmites,38
Ñ–nica,38
PERSONAL,38
llegar,37
través,37
ayudar,37
semana,37
y/o,37
tengan,37
carta,37
consulta,37
claro,37
programar,37
deberÐ,37
mexico,37
profesional,37
extranjero,37
ATENCION,37
SUS,37
HASTA,37
ISSSTE,37
mayor,36
errores,36
demasiado,36
cambiar,36
Lo,36
firma,36
casos,36
municipio,36
estas,36
dejar,36
nÐ,36
contesta,36
the,36
general,35
viajar,35
Un,35
sugerencia,35
Saludos,35
llamar,35
ANTES,35
igual,35
ligas,35
trГЎmite,35
ÐŽn,35
atienden,35
PERSONAS,35
quiere,35
nuestro,35
I,35
cédula,35
hecho,34
van,34
presentar,34
YO,34
ESO,34
entrega,34
aun,34
SAT,34
tal,34
dicho,34
anteriormente,34
telefonos,34
casi,34
Ser,34
trato,34
eficiente,34
n,34
SACAR,34
trabajar,34
facilitar,34
nuestros,34
debido,34
ingresar,33
servicios,33
quieren,33
cuanto,33
telefónica,33
semanas,33
Â­as,33
MEJOR,33
muestra,33
$,33
incluir,33
deberia,33
REQUISITOS,33
ellos,32
encuentra,32
visa,32
consultar,32
MEJORAR,32
documentación,32
pide,32
FACIL,32
otras,32
telefonica,32
ESTO,32
Creo,32
además,32
INFORMACIÓN,32
podría,32
apartado,31
seguimiento,31
claros,31
gmail.com,31
paginas,31
cÐ,31
mero,31
requieren,31
CUENTA,31
Mexico,31
GENTE,31
TIENEN,31
DELEGACION,31
online,31
NUNCA,31
of,31
rápido,30
captura,30
disponible,30
espero,30
aunque,30
casa,30
mГЎs,30
links,30
lineas,30
correspondiente,30
nosotros,30
salir,30
primera,30
luego,30
LES,30
digital,30
REGISTRO,30
agregar,29
mexicanos,29
pГЎgina,29
Yo,29
padres,29
podamos,29
computadora,29
recibir,29
veo,29
Â©s,29
PERSONA,29
OFICINA,29
social,29
FORMA,28
costos,28
PUEDO,28
buena,28
algún,28
llenado,28
algun,28
municipios,28
actualizar,28
lado,28
accesible,28
electrÐ,28
tambien,28
AYUDA,28
estudios,28
Ciudad,28
PUEDEN,28
saben,28
vivo,28
to,28
algunos,28
mÃ¡s,28
electrónica,27
aclarar,27
renovación,27
lleva,27
colocar,27
vivimos,27
necesaria,27
dentro,27
tardes,27
perdida,27
queda,27
confusa,27
Como,27
calendario,27
opciÐ,27
solicitan,27
considero,27
final,27
pude,27
MOMENTO,27
medios,27
asÐ,27
USTEDES,27
Tengo,27
solamente,27
menor,27
Una,27
mediante,27
15,27
lugares,27
trÃ¡mite,27
2017,27
seguridad,26
solicitudes,26
x,26
MISMO,26
copias,26
018008010773,26
regresar,26
Estado,26
realice,26
RFC,26
Solo,26
ESTADO,26
Ñ–nico,26
somos,26
hablar,26
derecho,26
aqui,26
TRAMITAR,26
MANERA,26
esperando,26
dando,26
seleccionar,26
existen,26
FALTA,26
ASI,26
