Term,Counts
de,5886
",",4526
que,4177
.,3876
la,3640
el,3379
y,3046
en,2810
no,2550
para,2460
“,1996
a,1718
se,1697
DE,1457
los,1355
por,1251
es,1136
QUE,1010
las,992
?,972
LA,857
un,842
una,840
cita,829
del,815
hacer,806
me,798
Y,792
o,705
mi,661
NO,647
EL,646
como,625
con,623
ya,615
lo,591
EN,583
si,583
!,529
tramite,526
al,524
donde,513
A,507
pago,490
citas,475
PARA,458
esta,455
internet,447
realizar,431
Ñ–n,402
SE,389
pasaporte,384
No,380
mas,376
puede,365
hay,345
su,336
POR,335
),316
ES,314
pagina,313
(,309
LOS,303
...,302
información,299
trámite,295
formato,288
pero,277
solo,275
poder,269
puedo,256
te,233
este,232
tiempo,229
LAS,227
uno,224
muy,222
porque,220
documentos,220
:,217
oficinas,215
tengo,213
tiene,206
ME,205
UNA,201
cuando,200
El,200
falta,194
La,194
linea,192
MI,192
Que,191
sacar,188
dice,185
ni,183
UN,175
nada,174
ser,174
todo,169
'',166
En,166
son,164
servicio,162
caso,160
estado,159
oficina,159
LO,158
personas,157
CON,155
DEL,155
CITA,153
informacion,152
agendar,151
``,149
sin,148
YA,147
O,145
requisitos,141
solicitud,140
TRAMITE,139
todos,138
hace,137
liga,135
debe,135
COMO,135
dar,134
INTERNET,134
pagar,133
HACER,133
sistema,132
correo,132
obtener,132
más,131
datos,131
CURP,131
Â­a,131
cuenta,130
telefono,129
tramitar,128
”,128
aparece,127
tener,125
desde,124
SI,124
sobre,123
yo,123
ir,122
le,122
Ñ,121
AL,120
página,120
sea,120
PAGINA,120
tienen,120
link,119
pueda,118
forma,117
encuentro,116
sus,113
línea,112
MAS,112
saber,112
numero,112
SU,111
cada,110
piden,109
hasta,109
ESTA,108
registro,107
Falta,106
cual,106
tramites,105
antes,104
derechos,104
poner,104
dan,104
dicen,103
Ð,102
documento,100
mucho,99
nos,98
DONDE,98
formatos,98
banco,97
manera,96
gracias,96
CITAS,95
telÐ,94
trÐ,94
otra,93
vez,93
pÐ,93
Es,93
llevar,91
pueden,90
proceso,89
@,89
he,89
teléfono,89
solicitar,89
esto,89
Por,88
Los,88
enlace,87
opciones,87
da,86
ejemplo,85
mismo,85
;,84
portal,84
informaciÐ,84
hoja,83
años,82
constancia,82
Gracias,82
acudir,82
persona,81
nombre,81
lugar,81
ÐŽmite,81
nunca,80
contestan,80
eso,80
ahora,79
opción,79
ayuda,79
llenar,79
trabajo,79
Â©fono,79
Internet,78
imprimir,78
HAY,78
está,77
les,77
cuanto,77
tu,77
sirve,76
ÐŽgina,76
Como,75
estados,75
2,75
PUEDE,75
posible,75
q,74
alta,74
3,74
atención,74
siempre,74
ese,73
edad,73
favor,72
respuesta,72
otro,71
pues,71
esa,70
SOLO,70
ÐŽs,70
PAGO,69
Si,69
funciona,69
e,69
dÐ,69
estar,68
domicilio,68
deben,67
estoy,67
quien,67
hacerlo,66
fecha,66
quiero,65
copia,65
bien,65
’,65
puedan,65
PORQUE,65
via,64
dos,64
hacen,64
menos,64
personal,64
Â­,64
Donde,63
número,63
renovar,63
PASAPORTE,63
REALIZAR,63
ESTE,62
muchas,61
necesario,61
LE,61
era,60
toda,60
etc,60
sitio,60
medio,60
ustedes,59
encontrar,59
días,59
existe,59
mÐ,59
mis,58
acta,58
trámites,58
paso,58
permite,58
estÐ,57
contacto,57
fechas,56
LINEA,56
acceso,56
estan,56
otros,56
FORMATO,56
nacimiento,56
ninguna,55
parte,55
opcion,55
ÐŽ,55
INFORMACION,54
así,54
telefonos,54
copias,54
meses,54
ha,54
momento,54
tipo,54
viene,53
va,53
CUANDO,53
llegar,53
ciudad,53
5,53
vía,52
tan,52
tanto,52
mes,52
Me,52
mal,52
nadie,52
alguna,52
SRE,52
todas,52
FALTA,52
curp,52
veces,52
pagos,51
tenemos,51
tampoco,51
debo,51
PERO,51
encuentra,50
DICE,50
municipio,50
asi,50
Â©,50
extranjero,50
carta,50
consultar,49
gente,49
presentar,49
decir,49
mejor,49
descargar,49
01800,48
clara,48
ver,48
municipios,48
año,48
vÐ,48
tarda,48
qué,47
TODO,47
llevo,47
1,47
Para,47
podemos,47
deja,47
$,47
algo,46
México,46
ingresar,46
web,46
TELEFONO,46
dia,46
UNO,46
2016,46
indica,46
Las,45
MUY,45
generar,45
requiere,45
TE,45
acceder,45
OFICINAS,45
MÐ,45
haber,45
Un,45
NI,45
están,44
cómo,44
claro,44
costo,44
necesito,44
TODOS,44
ocupado,44
TIEMPO,44
comprobante,44
menciona,44
error,44
Se,43
soy,43
800,43
apoyo,43
NOS,43
han,43
cualquier,43
cosas,42
programa,42
SACAR,42
credencial,42
gobierno,42
anterior,42
mayor,42
entrar,42
TENGO,42
ponen,41
SIN,41
captura,41
horarios,41
pasa,41
pide,41
PERSONAS,41
dudas,41
SON,41
NOMBRE,41
creo,40
necesita,40
complicado,40
servicios,40
Poner,40
informaciГіn,40
problema,40
telefÐ,40
SERVICIO,40
DIAS,40
ESO,40
profesional,40
DOCUMENTOS,40
TRAMITES,40
dónde,39
PODER,39
seguir,39
lista,39
fue,39
presencial,39
disponibles,39
horas,39
hoy,39
Cuando,39
SER,39
verdad,39
misma,39
numeros,38
directo,38
10,38
NUMERO,38
contesta,38
fuera,38
sean,38
día,38
seria,37
fácil,37
Ya,37
original,37
ventanilla,37
tratando,37
ESTADO,37
lÐ,37
4,37
n,37
aÐ,37
PUEDO,37
Â­nea,37
nÐ,37
lado,37
â€œN,37
TIENE,37
01,37
imposible,36
nuevo,36
fotos,36
parece,36
vigencia,36
hora,36
VIA,36
diferentes,36
NADA,36
horario,35
realiza,35
atienden,35
hotmail.com,35
debería,35
ISSSTE,35
Â­an,35
pasaportes,35
mero,35
entrega,35
